id;menu_idsand_qty;waiter_name;note;order_date;orderstatus
1;portal input;synthesize holistic payment;Convertible Marks Danish Krone;2021-01-20;READY_TO_SEARVE
2;Keys Buckinghamshire;Orchestrator virtual;HDD;2021-01-20;BEING_PREPARED
3;Personal Loan Account feed;Oval online;mindshare;2021-01-20;CANCEL
4;Finland deposit Jewelery;Cotton overriding Pound Sterling;neutral Auto Loan Account Awesome;2021-01-20;CONFIRMED
5;hub Gorgeous;proactive Brand Rapid;solid state protocol;2021-01-20;READY_TO_SEARVE
6;Plains;application Uganda Shilling Algeria;TCP;2021-01-20;CANCEL
7;intuitive;multi-state Libyan Dinar;quantifying solid state bypassing;2021-01-20;CANCEL
8;matrix;ADP Ball;Executive hacking;2021-01-20;CONFIRMED
9;pink;Harbors copy red;France Money Market Account Corporate;2021-01-20;COMPLETED
10;payment SSL bypassing;Cambridgeshire quantifying Mexico;Licensed Group;2021-01-20;CANCEL
